Date,Close
2019-12-02,3113.87
2019-12-03,3093.20
2019-12-04,3112.76
2019-12-05,3117.43
2019-12-06,3145.91
2019-12-09,3135.96
2019-12-10,3132.52
2019-12-11,3141.63
2019-12-12,3168.57
2019-12-13,3168.80
2019-12-16,3191.45
2019-12-17,3192.52
2019-12-18,3191.14
2019-12-19,3205.37
2019-12-20,3221.22
2019-12-23,3224.01
2019-12-24,3223.38
2019-12-26,3239.91
2019-12-27,3240.02
2019-12-30,3221.29
2019-12-31,3230.78
2020-01-02,3257.85
2020-01-03,3234.85
2020-01-06,3246.28
2020-01-07,3237.18
2020-01-08,3253.05
2020-01-09,3274.70
2020-01-10,3265.35
2020-01-13,3288.13
2020-01-14,3283.15
2020-01-15,3289.29
2020-01-16,3316.81
2020-01-17,3329.62
2020-01-21,3320.79
2020-01-22,3321.75
2020-01-23,3325.54
2020-01-24,3295.47
2020-01-27,3243.63
2020-01-28,3276.24
2020-01-29,3273.40
2020-01-30,3283.66
2020-01-31,3225.52
2020-02-03,3248.92
2020-02-04,3297.59
2020-02-05,3334.69
2020-02-06,3345.78
2020-02-07,3327.71
2020-02-10,3352.09
2020-02-11,3357.75
2020-02-12,3379.45
2020-02-13,3373.94
2020-02-14,3380.16
2020-02-18,3370.29
2020-02-19,3386.15
2020-02-20,3373.23
2020-02-21,3337.75
2020-02-24,3225.89
2020-02-25,3128.21
2020-02-26,3116.39
2020-02-27,2978.76
2020-02-28,2954.22
2020-03-02,3090.23
2020-03-03,3003.37
2020-03-04,3130.12
2020-03-05,3023.94
2020-03-06,2972.37
2020-03-09,2746.56
2020-03-10,2882.23
2020-03-11,2741.38
2020-03-12,2480.64
2020-03-13,2711.02
2020-03-16,2386.13
2020-03-17,2529.19
2020-03-18,2398.10
2020-03-19,2409.39
2020-03-20,2304.92
2020-03-23,2237.40
2020-03-24,2447.33
2020-03-25,2475.56
